Zeitstempel,Age,Citizenship,USA 1,USA 2,USA 3,USA 4,USA 5,USA 6,USA 7,USA 8,USA 9,USA 10,Germany  1,Germany 2,Germany 3,Germany 4,Germany 5,Germany 6,Germany 7,Germany 8,Germany 9,Germany 10,Salad 1,Salad 2,Salad 3,Salad 4,Salad 1,Salad 6,Salad 7,Salad 8,Salad 9,Salad 10,Rice 1,Rice 2,Rice 3,Rice 4,Rice 5,Rice 6,Rice 7,Rice 8,Rice 9,Rice 10,Pop 1,Pop 2,Pop 3,Pop 4,Pop 5,Pop 6,Pop 7,Pop 8,Pop 9,Pop 10,Rammstein 1,Rammstein 2,Rammstein 3,Rammstein 4,Rammstein 5,Rammstein 6,Rammstein 7,Rammstein 8,Rammstein 9,Rammstein 10,Were the used antonyms fitting to describe those words?  ,Were the used antonyms real antonyms/ opposites in your opinion?,What do you think about this approach? Do you think that you can use a scale between antonyms to capture the meaning of words?
01.07.2020 12:28:30,23,German,2,8,3,8,5,5,7,9,2,2,7,6,2,9,8,6,7,5,6,6,6,8,7,1,9,5,3,1,8,2,0,5,1,6,7,9,9,8,1,3,1,2,8,3,6,0,4,4,10,5,5,5,5,5,5,8,2,7,5,8,,,
01.07.2020 12:29:44,23,German,4,10,3,10,9,1,4,10,1,0,4,7,4,8,6,3,7,3,6,6,6,8,4,0,6,10,1,0,10,2,3,4,0,10,7,10,7,0,0,5,0,0,10,10,10,0,4,4,8,5,0,10,8,4,3,6,4,3,3,7,"Most were fitting, at least so that you could have an association.","Most of them, but for example stupid and streetwise and superior and punk aren’t real opposites in my opinion.","Somewhat, I think the association you have can narrow the meaning down but probably it can’t define the exact meaning. The sense of a word is often defined by cultural and societal developments."
01.07.2020 12:33:36,23,German,9,6,6,7,5,3,2,8,2,1,7,4,4,7,3,5,8,4,4,5,6,6,3,0,9,6,8,1,7,4,2,5,0,6,5,7,8,4,3,5,0,1,10,7,8,1,5,3,5,5,2,8,3,2,5,3,6,6,3,7,,,
01.07.2020 13:02:11,22,germany,5,9,5,8,7,0,7,10,0,0,4,3,3,2,7,2,5,1,1,3,10,8,7,1,7,10,7,2,8,3,2,5,0,7,6,10,8,5,5,2,0,5,10,5,7,0,3,3,5,8,3,10,3,0,5,6,2,5,7,5,sometimes,sometimes,not really
01.07.2020 13:39:04,23,German,4,9,2,10,10,0,0,6,0,3,5,3,1,7,8,8,9,0,3,7,10,5,8,0,0,6,7,1,10,0,0,10,5,8,0,5,10,0,0,0,0,4,10,6,8,0,0,5,0,5,0,8,10,4,4,0,10,0,0,10,no,no,no
01.07.2020 14:01:30,23,French,6,3,6,7,7,5,7,9,2,2,4,5,10,8,6,5,5,4,4,10,6,5,4,0,2,8,4,0,9,1,0,3,0,10,9,8,10,1,0,4,0,1,10,6,9,0,9,1,7,2,3,9,1,3,6,8,0,8,9,6,Not everytime ,Not everytime neither ,I can be used if the choice of the antonyms is meaningful enough
01.07.2020 14:41:34,22,French,7,9,2,9,10,2,6,10,1,5,6,5,7,9,3,5,7,6,5,10,10,5,10,0,10,9,5,0,10,2,0,5,0,10,10,10,5,5,0,5,0,5,10,10,10,0,5,10,5,5,0,8,0,0,0,5,0,10,10,6,,,
01.07.2020 14:44:59,25,Belgium,5,2,5,9,5,8,2,5,3,2,8,8,3,9,8,5,9,8,8,10,3,7,1,0,5,5,5,2,5,3,0,5,1,10,8,7,5,3,0,5,0,5,8,8,9,8,3,7,5,5,2,9,5,2,2,5,4,4,5,7,,,
01.07.2020 15:32:28,23,german,3,8,4,9,5,2,5,10,2,5,6,6,3,6,5,5,8,4,6,4,10,5,7,3,5,5,6,0,5,2,0,5,0,8,5,8,5,5,0,5,0,5,7,5,10,5,5,5,0,5,0,10,5,2,3,5,10,5,5,8,Not all,Did not look at it,no
01.07.2020 16:11:28,22,German,3,8,2,7,8,3,1,5,3,3,6,3,2,8,3,3,10,3,2,9,4,7,2,0,9,3,5,1,8,5,0,5,2,7,5,8,8,3,5,5,0,3,8,5,8,1,5,5,2,5,2,8,9,3,4,7,2,5,2,3,,,
01.07.2020 16:14:56,24,China,7,1,8,7,10,1,4,7,3,5,7,3,1,7,3,5,10,8,6,9,7,7,4,0,1,5,3,2,5,4,0,5,1,1,8,5,7,4,8,3,0,0,10,8,8,1,8,8,5,5,5,8,2,7,2,5,5,6,7,3,The most is appropriate.,The 80% is real.,Yes. It's somehow good.
01.07.2020 16:38:30,26,Croatian,2,10,6,9,4,0,8,8,0,0,6,7,4,6,4,7,7,4,6,7,9,7,7,2,8,8,0,0,10,3,0,2,5,8,8,8,9,8,0,5,0,2,9,10,10,1,8,0,5,5,1,10,5,7,4,7,6,5,3,7,More or less ,More or less (sorry I'm very specific about word meaning) ,I think context defines words and the meaning of a word cannot be easily defined. I think defining a word by naming its synonyms is maybe better because you can use a different synonym depending on the context. 
01.07.2020 16:57:07,24,china,5,2,8,9,7,3,1,8,2,8,7,2,1,8,8,5,8,8,5,8,5,5,7,2,6,6,2,1,8,2,1,5,2,9,7,8,6,4,9,6,1,1,9,9,8,1,8,9,1,1,7,8,5,7,3,7,3,6,7,5,yes,,
